team,group,elo,confederation,host_country
Mexico,A,1859,CONCACAF,MEX
South Africa,A,1525,CAF,
South Korea,A,1752,AFC,
Czechia,A,1726,UEFA,
Canada,B,1784,CONCACAF,CAN
Bosnia and Herzegovina,B,1594,UEFA,
Qatar,B,1427,AFC,
Switzerland,B,1889,UEFA,
Brazil,C,1984,CONMEBOL,
Morocco,C,1822,CAF,
Haiti,C,1532,CONCACAF,
Scotland,C,1767,UEFA,
United States,D,1721,CONCACAF,USA
Paraguay,D,1832,CONMEBOL,
Australia,D,1782,AFC,
Turkiye,D,1903,UEFA,
Germany,E,1923,UEFA,
Curacao,E,1436,CONCACAF,
Ivory Coast,E,1676,CAF,
Ecuador,E,1933,CONMEBOL,
Netherlands,F,1961,UEFA,
Japan,F,1904,AFC,
Sweden,F,1719,UEFA,
Tunisia,F,1636,CAF,
Belgium,G,1866,UEFA,
Egypt,G,1689,CAF,
Iran,G,1760,AFC,
New Zealand,G,1585,OFC,
Spain,H,2165,UEFA,
Cape Verde,H,1549,CAF,
Saudi Arabia,H,1568,AFC,
Uruguay,H,1892,CONMEBOL,
France,I,2081,UEFA,
Senegal,I,1879,CAF,
Iraq,I,1607,AFC,
Norway,I,1912,UEFA,
Argentina,J,2113,CONMEBOL,
Algeria,J,1743,CAF,
Austria,J,1827,UEFA,
Jordan,J,1690,AFC,
Portugal,K,1984,UEFA,
DR Congo,K,1655,CAF,
Uzbekistan,K,1727,AFC,
Colombia,K,1975,CONMEBOL,
England,L,2020,UEFA,
Croatia,L,1930,UEFA,
Ghana,L,1503,CAF,
Panama,L,1737,CONCACAF,
