match_no,group,match_day,date_local,kickoff_local,home_team,away_team,city,venue,country,indoor,expected_temp_c,home_rest_h,home_dist_km,home_travel_factor,away_rest_h,away_dist_km,away_travel_factor
1,A,1,2026-06-11,13:00,Mexico,South Africa,Mexico City,Estadio Azteca,MEX,0,24,,,1.0,,,1.0
2,A,1,2026-06-11,20:00,South Korea,Czechia,Guadalajara,Estadio Akron,MEX,0,24,,,1.0,,,1.0
3,B,1,2026-06-12,15:00,Canada,Bosnia and Herzegovina,Toronto,BMO Field,CAN,0,26,,,1.0,,,1.0
4,D,1,2026-06-12,18:00,United States,Paraguay,Los Angeles,SoFi Stadium,USA,0,22,,,1.0,,,1.0
5,B,1,2026-06-13,12:00,Qatar,Switzerland,San Francisco Bay Area,Levi's Stadium,USA,0,26,,,1.0,,,1.0
6,C,1,2026-06-13,18:00,Brazil,Morocco,New York New Jersey,MetLife Stadium,USA,0,25,,,1.0,,,1.0
7,C,1,2026-06-13,21:00,Haiti,Scotland,Boston,Gillette Stadium,USA,0,17,,,1.0,,,1.0
8,D,1,2026-06-13,21:00,Australia,Turkiye,Vancouver,BC Place,CAN,0,13,,,1.0,,,1.0
9,E,1,2026-06-14,12:00,Germany,Curacao,Houston,NRG Stadium,USA,1,22,,,1.0,,,1.0
10,F,1,2026-06-14,15:00,Netherlands,Japan,Dallas,AT&T Stadium,USA,1,22,,,1.0,,,1.0
11,E,1,2026-06-14,19:00,Ivory Coast,Ecuador,Philadelphia,Lincoln Financial Field,USA,0,26,,,1.0,,,1.0
12,F,1,2026-06-14,20:00,Sweden,Tunisia,Monterrey,Estadio BBVA,MEX,0,31,,,1.0,,,1.0
13,H,1,2026-06-15,12:00,Spain,Cape Verde,Atlanta,Mercedes-Benz Stadium,USA,1,22,,,1.0,,,1.0
14,G,1,2026-06-15,12:00,Belgium,Egypt,Seattle,Lumen Field,USA,0,23,,,1.0,,,1.0
15,H,1,2026-06-15,18:00,Saudi Arabia,Uruguay,Miami,Hard Rock Stadium,USA,0,30,,,1.0,,,1.0
16,G,1,2026-06-15,18:00,Iran,New Zealand,Los Angeles,SoFi Stadium,USA,0,22,,,1.0,,,1.0
17,I,1,2026-06-16,15:00,France,Senegal,New York New Jersey,MetLife Stadium,USA,0,28,,,1.0,,,1.0
18,I,1,2026-06-16,18:00,Iraq,Norway,Boston,Gillette Stadium,USA,0,23,,,1.0,,,1.0
19,J,1,2026-06-16,20:00,Argentina,Algeria,Kansas City,Arrowhead Stadium,USA,0,28,,,1.0,,,1.0
20,J,1,2026-06-16,21:00,Austria,Jordan,San Francisco Bay Area,Levi's Stadium,USA,0,15,,,1.0,,,1.0
21,K,1,2026-06-17,12:00,Portugal,DR Congo,Houston,NRG Stadium,USA,1,22,,,1.0,,,1.0
22,L,1,2026-06-17,15:00,England,Croatia,Dallas,AT&T Stadium,USA,1,22,,,1.0,,,1.0
23,L,1,2026-06-17,19:00,Ghana,Panama,Toronto,BMO Field,CAN,0,23,,,1.0,,,1.0
24,K,1,2026-06-17,20:00,Uzbekistan,Colombia,Mexico City,Estadio Azteca,MEX,0,20,,,1.0,,,1.0
25,A,2,2026-06-18,12:00,Czechia,South Africa,Atlanta,Mercedes-Benz Stadium,USA,1,22,158,2373.0,0.985,165,2172.0,0.986
26,B,2,2026-06-18,12:00,Switzerland,Bosnia and Herzegovina,Los Angeles,SoFi Stadium,USA,0,24,120,505.0,0.997,144,3505.0,0.978
27,B,2,2026-06-18,15:00,Canada,Qatar,Vancouver,BC Place,CAN,0,21,147,3357.0,0.979,123,1324.0,0.992
28,A,2,2026-06-18,19:00,Mexico,South Korea,Guadalajara,Estadio Akron,MEX,0,24,174,476.0,0.997,167,0.0,1.0
29,D,2,2026-06-19,12:00,United States,Australia,Seattle,Lumen Field,USA,0,23,162,1553.0,0.99,135,197.0,0.999
30,C,2,2026-06-19,18:00,Scotland,Morocco,Boston,Gillette Stadium,USA,0,23,141,0.0,1.0,144,274.0,0.998
31,C,2,2026-06-19,20:30,Brazil,Haiti,Philadelphia,Lincoln Financial Field,USA,0,26,146,138.0,0.999,144,409.0,0.997
32,D,2,2026-06-19,20:00,Turkiye,Paraguay,San Francisco Bay Area,Levi's Stadium,USA,0,22,143,1324.0,0.992,170,505.0,0.997
33,F,2,2026-06-20,12:00,Netherlands,Sweden,Houston,NRG Stadium,USA,1,22,141,377.0,0.998,135,657.0,0.996
34,E,2,2026-06-20,16:00,Germany,Ivory Coast,Toronto,BMO Field,CAN,0,26,147,2100.0,0.987,141,544.0,0.997
35,E,2,2026-06-20,19:00,Ecuador,Curacao,Kansas City,Arrowhead Stadium,USA,0,28,145,1657.0,0.99,151,1045.0,0.993
36,F,2,2026-06-20,22:00,Tunisia,Japan,Monterrey,Estadio BBVA,MEX,0,24,146,0.0,1.0,152,847.0,0.995
37,H,2,2026-06-21,12:00,Spain,Saudi Arabia,Atlanta,Mercedes-Benz Stadium,USA,1,22,144,0.0,1.0,138,955.0,0.994
38,G,2,2026-06-21,12:00,Belgium,Iran,Los Angeles,SoFi Stadium,USA,0,24,144,1553.0,0.99,138,0.0,1.0
39,H,2,2026-06-21,18:00,Uruguay,Cape Verde,Miami,Hard Rock Stadium,USA,0,30,144,0.0,1.0,150,955.0,0.994
40,G,2,2026-06-21,18:00,New Zealand,Egypt,Vancouver,BC Place,CAN,0,18,144,1749.0,0.989,150,197.0,0.999
41,J,2,2026-06-22,12:00,Argentina,Austria,Dallas,AT&T Stadium,USA,1,22,136,739.0,0.995,133,2315.0,0.986
42,I,2,2026-06-22,17:00,France,Iraq,Philadelphia,Lincoln Financial Field,USA,0,26,146,138.0,0.999,143,409.0,0.997
43,I,2,2026-06-22,20:00,Norway,Senegal,Toronto,BMO Field,CAN,0,23,146,686.0,0.996,149,541.0,0.997
44,J,2,2026-06-22,20:00,Jordan,Algeria,San Francisco Bay Area,Levi's Stadium,USA,0,22,143,0.0,1.0,146,2399.0,0.985
45,K,2,2026-06-23,12:00,Portugal,Uzbekistan,Houston,NRG Stadium,USA,1,22,144,0.0,1.0,135,1214.0,0.992
46,L,2,2026-06-23,16:00,England,Ghana,Boston,Gillette Stadium,USA,0,26,144,2493.0,0.984,141,686.0,0.996
47,L,2,2026-06-23,19:00,Panama,Croatia,Boston,Gillette Stadium,USA,0,23,144,686.0,0.996,147,2493.0,0.984
48,K,2,2026-06-23,20:00,Colombia,DR Congo,Guadalajara,Estadio Akron,MEX,0,24,144,476.0,0.997,153,1287.0,0.992
49,B,3,2026-06-24,12:00,Switzerland,Canada,Vancouver,BC Place,CAN,0,21,144,1749.0,0.989,141,0.0,1.0
50,B,3,2026-06-24,12:00,Bosnia and Herzegovina,Qatar,Seattle,Lumen Field,USA,0,23,144,1553.0,0.99,141,197.0,0.999
51,C,3,2026-06-24,18:00,Morocco,Haiti,Atlanta,Mercedes-Benz Stadium,USA,1,22,120,1476.0,0.991,118,1067.0,0.993
52,C,3,2026-06-24,18:00,Scotland,Brazil,Miami,Hard Rock Stadium,USA,0,30,120,1972.0,0.988,118,1620.0,0.99
53,A,3,2026-06-24,19:00,South Africa,South Korea,Monterrey,Estadio BBVA,MEX,0,31,153,1777.0,0.989,144,641.0,0.996
54,A,3,2026-06-24,19:00,Czechia,Mexico,Mexico City,Estadio Azteca,MEX,0,20,153,2172.0,0.986,144,476.0,0.997
55,E,3,2026-06-25,16:00,Curacao,Ivory Coast,Philadelphia,Lincoln Financial Field,USA,0,29,116,1657.0,0.99,120,544.0,0.997
56,E,3,2026-06-25,16:00,Ecuador,Germany,New York New Jersey,MetLife Stadium,USA,0,28,116,1747.0,0.989,120,541.0,0.997
57,F,3,2026-06-25,18:00,Tunisia,Netherlands,Kansas City,Arrowhead Stadium,USA,0,28,115,1584.0,0.99,126,1045.0,0.993
58,F,3,2026-06-25,18:00,Japan,Sweden,Dallas,AT&T Stadium,USA,1,22,115,847.0,0.995,126,377.0,0.998
59,D,3,2026-06-25,19:00,Turkiye,United States,Los Angeles,SoFi Stadium,USA,0,22,143,505.0,0.997,151,1553.0,0.99
60,D,3,2026-06-25,19:00,Paraguay,Australia,San Francisco Bay Area,Levi's Stadium,USA,0,22,143,0.0,1.0,151,1133.0,0.993
61,I,3,2026-06-26,15:00,Norway,France,Boston,Gillette Stadium,USA,0,26,91,686.0,0.992,94,409.0,0.996
62,I,3,2026-06-26,15:00,Senegal,Iraq,Toronto,BMO Field,CAN,0,26,91,0.0,0.996,94,544.0,0.995
63,H,3,2026-06-26,19:00,Cape Verde,Saudi Arabia,Houston,NRG Stadium,USA,1,22,122,1547.0,0.99,128,1135.0,0.993
64,H,3,2026-06-26,18:00,Uruguay,Spain,Guadalajara,Estadio Akron,MEX,0,24,122,2439.0,0.985,128,2373.0,0.985
65,G,3,2026-06-26,20:00,New Zealand,Belgium,Vancouver,BC Place,CAN,0,18,122,0.0,1.0,128,1749.0,0.989
66,G,3,2026-06-26,20:00,Egypt,Iran,Seattle,Lumen Field,USA,0,20,122,197.0,0.999,128,1553.0,0.99
67,L,3,2026-06-27,17:00,Panama,England,New York New Jersey,MetLife Stadium,USA,0,25,94,274.0,0.997,97,274.0,0.998
68,L,3,2026-06-27,17:00,Croatia,Ghana,Philadelphia,Lincoln Financial Field,USA,0,26,94,409.0,0.996,97,409.0,0.997
69,K,3,2026-06-27,19:30,Colombia,Portugal,Miami,Hard Rock Stadium,USA,0,30,94,2439.0,0.983,102,1547.0,0.99
